Start word,Number of won games,Total games,Percentage of won games,Average number of rounds
dutch,2304,2314,99.57,3.69
hasty,2304,2314,99.57,3.69
knelt,2304,2314,99.57,3.69
rehab,2304,2314,99.57,3.69
slunk,2304,2314,99.57,3.69
soapy,2304,2314,99.57,3.69
stink,2304,2314,99.57,3.69
truck,2304,2314,99.57,3.69
binge,2304,2314,99.57,3.70
bound,2304,2314,99.57,3.70
brief,2304,2314,99.57,3.70
fling,2304,2314,99.57,3.70
shrew,2304,2314,99.57,3.70
spark,2304,2314,99.57,3.70
thank,2304,2314,99.57,3.70
whole,2304,2314,99.57,3.70
yield,2304,2314,99.57,3.70
album,2304,2314,99.57,3.71
black,2304,2314,99.57,3.71
fetch,2304,2314,99.57,3.71
ghoul,2304,2314,99.57,3.71
liver,2304,2314,99.57,3.71
ombre,2304,2314,99.57,3.71
spicy,2304,2314,99.57,3.71
vocal,2304,2314,99.57,3.71
whose,2304,2314,99.57,3.71
butch,2304,2314,99.57,3.72
lofty,2304,2314,99.57,3.72
musty,2304,2314,99.57,3.72
smoke,2304,2314,99.57,3.72
snuck,2304,2314,99.57,3.72
women,2304,2314,99.57,3.72
chief,2304,2314,99.57,3.73
crepe,2304,2314,99.57,3.73
fancy,2304,2314,99.57,3.73
giver,2304,2314,99.57,3.73
scuba,2304,2314,99.57,3.73
troll,2304,2314,99.57,3.73
vomit,2304,2314,99.57,3.73
creme,2304,2314,99.57,3.75
pasta,2304,2314,99.57,3.75
pence,2304,2314,99.57,3.75
wrung,2304,2314,99.57,3.75
banal,2304,2314,99.57,3.76
thyme,2304,2314,99.57,3.76
venom,2304,2314,99.57,3.76
virus,2304,2314,99.57,3.76
hymen,2304,2314,99.57,3.77
boost,2304,2314,99.57,3.78
extol,2304,2314,99.57,3.78
moron,2304,2314,99.57,3.78
pinky,2304,2314,99.57,3.78
woven,2304,2314,99.57,3.78
libel,2304,2314,99.57,3.79
bushy,2304,2314,99.57,3.80
iliac,2304,2314,99.57,3.80
sheep,2304,2314,99.57,3.80
sixth,2304,2314,99.57,3.80
sooth,2304,2314,99.57,3.80
dilly,2304,2314,99.57,3.82
groom,2304,2314,99.57,3.82
broom,2304,2314,99.57,3.83
delve,2304,2314,99.57,3.83
husky,2304,2314,99.57,3.83
proxy,2304,2314,99.57,3.83
unzip,2304,2314,99.57,3.83
banjo,2304,2314,99.57,3.84
knoll,2304,2314,99.57,3.84
coyly,2304,2314,99.57,3.85
cycle,2304,2314,99.57,3.85
